Company,ProductName,TypeName,ScreenResolution,Cpu,Memory,Gpu,OpSys,Ram,Weight,Inches,Price_euros
Chuwi,"LapBook 15.6""",Notebook,Full HD / 1920x1080,Atom 8300 1.44GHz,64GB Flash Storage,Intel HD Graphics 400,Windows 10,4GB,1.89kg,15.6,244.99
Mediacom,SmartBook 140,Notebook,Full HD / 1920x1080,Atom 8350 1.44GHz,32GB Flash Storage,Intel HD Graphics 400,Windows 10,2GB,1.4kg,14,239
Mediacom,SmartBook 141,Notebook,Full HD / 1920x1080,Atom 8350 1.44GHz,32GB SSD,Intel HD Graphics 400,Windows 10,4GB,1.4kg,14,249
Chuwi,"Lapbook 15,6",Notebook,Full HD / 1920x1080,Atom 8350 1.44GHz,64GB Flash Storage,Intel HD Graphics 400,Windows 10,4GB,1.89kg,15.6,248.9
Mediacom,SmartBook 130,Notebook,IPS Panel Full HD / 1920x1080,Atom 8350 1.44GHz,32GB Flash Storage,Intel HD Graphics 400,Windows 10,4GB,1.35kg,13.3,255
Asus,Vivobook E200HA,Netbook,1366x768,Atom 8350 1.44GHz,32GB Flash Storage,Intel HD Graphics 400,Windows 10,2GB,0.98kg,11.6,191.9
Vero,V142 (X5-Z8350/2GB/32GB/W10),Notebook,1366x768,Atom 8350 1.44GHz,32GB Flash Storage,Intel HD Graphics 400,Windows 10,2GB,1.45kg,14,210.8
Vero,V131 (X5-Z8350/4GB/32GB/FHD/W10),Notebook,Full HD / 1920x1080,Atom 8350 1.44GHz,32GB Flash Storage,Intel HD Graphics 400,Windows 10,4GB,1.35kg,13.3,196
Lenovo,Yoga Book,2 in 1 Convertible,IPS Panel Touchscreen 1920x1200,Atom 8550 1.44GHz,64GB Flash Storage,Intel HD Graphics 400,Android,4GB,0.69kg,10.1,319
Lenovo,Yoga Book,2 in 1 Convertible,IPS Panel Touchscreen 1920x1200,Atom 8550 1.44GHz,64GB Flash Storage,Intel HD Graphics 400,Android,4GB,0.69kg,10.1,549
Lenovo,Yoga Book,2 in 1 Convertible,IPS Panel Touchscreen 1920x1200,Atom 8550 1.44GHz,64GB Flash Storage,Intel HD Graphics 400,Windows 10,4GB,0.69kg,10.1,646.27
Lenovo,Yoga Book,2 in 1 Convertible,IPS Panel Touchscreen 1920x1200,Atom 8550 1.44GHz,64GB Flash Storage,Intel HD Graphics 400,Windows 10,4GB,0.69kg,10.1,479
Mediacom,Smartbook 142,Notebook,IPS Panel Full HD / 1920x1200,Atom 8350 1.92GHz,32GB HDD,Intel HD Graphics 400,Windows 10,4GB,1.4kg,14,265
Acer,C740-C9QX (3205U/2GB/32GB/Chrome,Netbook,1366x768,Celeron Dual Core 3205 1.5GHz,32GB SSD,Intel HD Graphics 400,Chrome OS,2GB,1.3kg,11.6,174
Acer,Chromebook C910-C2ST,Notebook,1366x768,Celeron Dual Core 3205 1.5GHz,16GB SSD,Intel HD Graphics 400,Chrome OS,2GB,2.19kg,15.6,199
Acer,Chromebook 15,Notebook,1366x768,Celeron Dual Core 3205 1.5GHz,16GB SSD,Intel HD Graphics 400,Chrome OS,4GB,2.20kg,15.6,209
Acer,Chromebook CB5-571-C1DZ,Notebook,IPS Panel Full HD / 1920x1080,Celeron Dual Core 3205 1.5GHz,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,4GB,2.20kg,15.6,359
Lenovo,ThinkPad 13,Notebook,1366x768,Celeron Dual Core 3855 1.6GHz,16GB Flash Storage,Intel HD Graphics 510,Chrome OS,4GB,1.45kg,13.3,459.9
Acer,Chromebook 14,Notebook,1366x768,Celeron Dual Core 3855 1.6GHz,32GB Flash Storage,Intel HD Graphics 510,Chrome OS,4GB,1.45kg,14,375
Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,1366x768,Celeron Dual Core 3855 1.6GHz,500GB HDD,Intel HD Graphics 510,Windows 10,4GB,2.1kg,15.6,318
Acer,TravelMate B117-M,Netbook,1366x768,Celeron Dual Core 3050 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Windows 10,4GB,1.4kg,11.6,269
Asus,X553SA-XX021T (N3050/4GB/500GB/W10),Notebook,1366x768,Celeron Dual Core 3050 1.6GHz,500GB HDD,Intel HD Graphics 400,Windows 10,4GB,2.2kg,15.6,369
Dell,Inspiron 3552,Notebook,1366x768,Celeron Dual Core 3050 1.6GHz,500GB HDD,Intel HD Graphics 400,Windows 10,2GB,2.20kg,15.6,379
Asus,X553SA-XX031T (N3050/4GB/500GB/W10),Notebook,1366x768,Celeron Dual Core 3050 1.6GHz,500GB HDD,Intel HD Graphics 400,Windows 10,4GB,2.2kg,15.6,369
Dell,Inspiron 3552,Notebook,1366x768,Celeron Dual Core 3050 1.6GHz,500GB HDD,Intel HD Graphics 400,Windows 10,2GB,2.20kg,15.6,379
Asus,X553SA-XX031T (N3050/4GB/500GB/W10),Notebook,1366x768,Celeron Dual Core 3050 1.6GHz,500GB HDD,Intel HD Graphics 400,Windows 10,4GB,2.2kg,15.6,369
